写真区分,写真種別,工種,種別,細別,備考,検索パターン
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","取壊し状況",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","コンクリート（有筋）処分前",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","コンクリート（有筋）処分中",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","コンクリート（有筋）処分後",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","処分前",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","処分中",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","処分後",""
"直接工事費","施工状況写真","構造物撤去工","構造物取壊し工","コンクリート構造物取壊し","積込状況",""
